is_auth,is_order,is_payment,z_latency,z_errors,z_warns,traffic_delta,anomaly_count,label
0,0,1,1.834995,2.58457,1.041755,-1.086673,1,0
0,0,1,0.239521,0.504206,-0.132351,-0.105034,0,0
1,0,0,2.62,2.172207,2.415001,0.629515,1,0
0,0,1,0.622315,0.99886,4.04759,0.357693,1,0
0,0,1,3.074877,4.512771,1.17328,4.095539,3,1
0,1,0,-0.200853,0.840911,0.094601,-0.211542,0,0
0,0,1,-0.496579,-0.063621,-0.078697,0.304848,0,0
0,1,0,1.953047,0.852704,0.594549,-0.374988,0,0
0,1,0,2.122571,0.534369,0.294026,0.316451,0,0
1,0,0,0.858462,3.811676,2.8248,-2.054976,3,1
1,0,0,2.790428,3.197045,2.014031,0.632807,2,1
0,0,1,0.689858,-0.259283,0.433918,0.059312,0,0
1,0,0,0.439742,1.092104,1.508099,0.333157,0,0
1,0,0,0.070091,0.48447,0.817712,0.116138,0,0
1,0,0,0.838947,-0.107308,-0.223397,-0.100351,0,0
0,1,0,2.05071,2.283834,1.369333,0.562691,0,0
0,1,0,2.825957,2.240222,3.924083,2.995388,3,1
1,0,0,0.736867,-0.016781,-0.96207,0.069104,0,0
1,0,0,3.293013,0.073058,2.316877,-0.370949,1,0
1,0,0,0.99071,0.686312,2.654299,-0.221842,1,0
0,0,1,0.130115,1.085297,0.023056,0.060309,0,0
0,1,0,3.175524,-0.275964,0.742424,0.150598,1,0
0,0,1,0.031354,0.660529,0.081839,0.043387,0,0
0,0,1,-0.146716,0.469265,0.782642,0.174718,0,0
0,0,1,3.66384,0.838612,3.228013,-0.94091,2,1
1,0,0,3.362419,0.670874,4.672319,-0.081088,2,1
0,0,1,4.42746,0.922857,1.192517,-0.14461,1,0
0,1,0,4.811859,5.138187,3.015659,-2.456365,4,1
0,0,1,4.520667,2.373278,3.853048,4.08215,3,1
0,1,0,0.246536,-0.185741,0.84631,0.094767,0,0
1,0,0,-0.387341,0.414834,0.563438,-0.164136,0,0
0,0,1,2.134495,-0.109222,8.610018,0.473487,1,0
0,1,0,0.061449,0.236461,0.210676,0.165437,0,0
0,1,0,0.782217,0.568812,-0.049248,0.100719,0,0
0,0,1,2.589575,2.790599,3.667673,0.490659,3,1
1,0,0,5.927355,2.583656,6.004598,-1.459496,3,1
0,0,1,-0.204687,-0.225408,-0.827227,-0.053604,0,0
0,1,0,5.25609,6.315525,4.777144,-2.04715,4,1
0,1,0,-0.32762,-0.310825,0.453135,-0.089861,0,0
1,0,0,2.822331,0.02487,3.315035,-0.045864,2,1
1,0,0,1.535061,3.094996,2.818159,0.287695,2,1
0,1,0,3.116922,2.399078,4.698027,-2.084743,3,1
0,1,0,0.174917,0.156363,0.241768,-0.376063,0,0
1,0,0,1.299287,0.771839,0.76178,0.164938,0,0
1,0,0,0.931885,-0.195695,0.057122,-0.097243,0,0
0,0,1,0.536909,1.530651,1.732602,0.072861,0,0
0,1,0,0.191928,0.331159,0.953856,0.04537,0,0
1,0,0,1.232567,2.115766,4.393602,0.275398,1,0
1,0,0,0.449546,0.339959,-0.092499,-0.418759,0,0
1,0,0,1.925841,1.361632,1.89727,0.013734,0,0
0,1,0,8.32444,4.300996,5.667159,-0.16442,3,1
0,0,1,4.912882,5.311479,5.229406,-0.57399,3,1
0,0,1,4.51973,0.647912,2.833036,1.05299,2,1
1,0,0,3.531025,0.052766,2.254962,-0.580215,1,0
1,0,0,-0.143216,0.183039,0.453996,-0.092906,0,0
0,1,0,0.085789,-0.58657,-0.317185,0.265294,0,0
0,0,1,4.412862,3.229629,2.371005,2.751855,3,1
1,0,0,4.049738,3.12796,2.595461,0.371366,3,1
0,0,1,4.238783,5.518532,5.4905,-0.749192,3,1
1,0,0,-0.062987,1.401594,-0.518,-0.168547,0,0
0,0,1,0.837376,0.393453,3.529854,0.626091,1,0
1,0,0,0.661771,0.957282,-0.037036,0.049863,0,0
1,0,0,1.853063,0.229135,1.785072,0.055883,0,0
0,0,1,4.290073,0.433092,2.541582,0.155045,2,1
0,1,0,0.051008,0.739505,2.848554,0.294994,1,0
0,1,0,0.868618,4.560111,0.370339,-1.543974,2,1
0,1,0,-0.693232,-0.068871,0.677499,-0.382981,0,0
1,0,0,2.072137,4.333342,1.568204,-3.935969,2,1
1,0,0,-1.182171,0.55709,-0.658699,0.119819,0,0
0,1,0,4.298315,4.54221,3.933696,-1.226235,3,1
0,0,1,2.211252,4.459967,4.320453,1.789653,3,1
0,0,1,0.044534,0.490524,-0.48114,0.156801,0,0
0,1,0,0.545856,0.262461,0.939512,-0.108482,0,0
0,0,1,2.287293,0.544991,3.371348,0.091157,1,0
1,0,0,0.942342,-0.592126,0.15682,0.207432,0,0
1,0,0,0.68972,-0.08767,-0.585254,0.270774,0,0
0,1,0,0.844683,3.30986,2.273966,-1.270776,1,0
1,0,0,7.01948,5.968688,5.030464,-2.779299,4,1
0,1,0,-0.336052,-0.16841,0.234379,0.098882,0,0
0,1,0,0.266157,-0.199395,0.720461,0.023135,0,0
0,0,1,-0.181629,1.115703,0.658717,-0.077982,0,0
0,1,0,3.76635,0.263077,1.069127,0.233302,1,0
0,0,1,0.280085,0.78744,0.446428,-0.020715,0,0
