is_auth,is_order,is_payment,z_latency,z_errors,z_warns,traffic_delta,anomaly_count,label
1,0,0,2.405,12.865,9.783,0.092,2,1
0,1,0,-0.089,0.186,-0.462,-0.074,0,0
0,0,1,-1.435,-0.013,0.358,-0.037,0,0
0,1,0,9.642,0.267,5.271,0.014,2,1
0,0,1,6.274,0.04,6.898,5.344,3,1
0,0,1,-0.258,-0.347,0.597,0.051,0,0
0,0,1,-0.651,-0.168,0.288,-0.061,0,0
0,0,1,6.832,-0.296,7.128,5.372,3,1
0,1,0,-0.721,-0.347,-0.227,-0.073,0,0
0,1,0,12.074,0.236,4.507,-0.006,2,1
1,0,0,0.57,-0.081,-0.684,0.008,0,0
0,0,1,-0.835,0.042,0.203,0.064,0,0
1,0,0,0.579,-0.03,0.487,0.029,0,0
0,0,1,1.646,53.947,19.13,-0.079,2,1
0,1,0,0.166,-0.014,0.314,0.018,0,0
0,1,0,5.638,0.7,7.723,3.625,3,1
1,0,0,-0.7,-0.094,-0.292,0.085,0,0
0,1,0,0.602,0.105,0.228,0.053,0,0
0,1,0,2.668,16.216,18.824,0.045,3,1
0,0,1,2.178,0.246,-0.003,-0.099,0,0
0,1,0,0.745,0.285,-0.445,-0.035,0,0
0,1,0,0.337,-0.192,0.323,0.054,0,0
0,1,0,8.86,-0.062,4.59,0.011,2,1
0,0,1,0.536,0.329,-0.085,-0.143,0,0
1,0,0,6.794,-0.39,6.817,-0.276,2,1
0,0,1,0.153,0.744,-0.4,0.109,0,0
0,1,0,-1.244,0.341,0.209,0.009,0,0
0,1,0,0.439,0.068,0.26,-0.038,0,0
1,0,0,9.839,-0.006,3.771,-0.075,2,1
1,0,0,4.416,0.204,8.193,3.555,3,1
0,0,1,1.161,0.503,0.511,0.032,0,0
1,0,0,1.241,0.824,0.54,0.045,0,0
0,1,0,0.282,0.13,0.043,-0.06,0,0
0,0,1,3.803,-0.101,4.657,3.563,3,1
0,0,1,6.786,0.495,2.881,0.012,2,1
0,0,1,-0.924,-0.353,0.079,-0.078,0,0
1,0,0,-0.458,-0.356,-0.8,0.03,0,0
0,0,1,-0.884,0.1,-0.243,0.119,0,0
0,0,1,0.268,0.309,0.227,-0.059,0,0
0,0,1,-1.519,0.082,-0.074,-0.028,0,0
1,0,0,1.876,12.53,11.936,-0.002,2,1
1,0,0,1.299,0.396,-0.489,-0.139,0,0
0,1,0,1.786,-0.277,0.591,2.717,1,0
0,0,1,-0.848,0.172,0.241,0.096,0,0
0,0,1,10.016,-0.184,5.404,5.828,3,1
1,0,0,1.315,-0.254,-0.393,-0.115,0,0
0,0,1,0.031,0.021,-0.022,0.148,0,0
0,0,1,-1.448,0.192,0.31,0.026,0,0
0,1,0,-0.862,0.029,0.148,0.014,0,0
0,0,1,5.039,1.227,17.025,-0.156,2,1
1,0,0,0.193,0.207,-0.194,0.058,0,0
0,0,1,3.682,1.464,16.289,0.077,2,1
1,0,0,0.4,0.694,-0.8,0.055,0,0
1,0,0,1.485,0.227,0.403,0.105,0,0
0,1,0,2.696,13.336,15.77,0.045,3,1
0,1,0,-0.157,-0.173,-0.162,0.065,0,0
0,1,0,-0.293,0.089,0.036,-0.061,0,0
1,0,0,-0.046,0.176,-0.133,-0.055,0,0
0,1,0,1.567,-0.32,-0.002,-0.062,0,0
0,1,0,0.12,0.325,0.226,-0.008,0,0
0,0,1,-0.41,0.058,0.717,0.08,0,0
0,0,1,-0.243,-0.667,-0.4,0.007,0,0
0,1,0,-1.541,-0.327,-0.082,0.005,0,0
1,0,0,-0.713,0.013,0.017,-0.03,0,0
0,0,1,0.09,-0.012,0.175,0.107,0,0
0,1,0,0.138,0.252,-0.546,0.11,0,0
0,1,0,0.113,-0.277,-0.463,0.035,0,0
1,0,0,0.503,-0.127,0.367,-0.073,0,0
0,0,1,0.058,-0.527,-0.021,-0.021,0,0
0,0,1,5.424,1.525,11.493,-0.051,2,1
0,1,0,0.574,-0.185,-0.759,0.254,0,0
0,0,1,1.231,0.384,0.628,-0.102,0,0
1,0,0,2.763,32.274,16.851,0.016,3,1
0,0,1,0.871,0.309,0.366,0.147,0,0
1,0,0,5.717,1.073,14.112,-0.064,2,1
1,0,0,8.355,0.286,5.41,4.209,3,1
0,0,1,0.656,0.389,-0.176,-0.018,0,0
0,1,0,-0.73,-0.101,0.503,0.004,0,0
0,0,1,2.115,0.004,-0.192,-0.048,0,0
